          (   4,    2) (   4,    5) (   4,    5) (   4,    4) (   4,    2) (   4,    5) (   4,    5) (   4,    2) (   4,    6) (   4,    7)
          (   4,    6) (   4,    5) (   4,    3) (   4,    4) (   4,    4) (   4,    2) (   4,    3) (   4,    5) (   4,    5) (   4,    2)
          (   4,    3) (   4,    5) (   4,    1) (   4,    4) (   4,    2) (   4,    5) (   4,    2) (   4,    3) (   4,    2) (   4,    2)
          (   4,    6) (   4,    3) (   4,    3) (   4,    1) (   4,    1) (   4,    2) (   4,    2) (   4,    5) (   4,    4) (   4,    3)
          (   4,    3) (   4,    3) (   4,    3) (   4,    3) (   4,    3) (   4,    3) (   4,    1) (   4,    5) (   4,    5) (   4,    2)
          (   4,    7) (   4,    6) (   4,    7) (   4,    0) (   4,    4) (   4,    3) (   4,    4) (   4,    2) (   4,    6) (   4,    4)
          (   4,    5) (   4,    0) (   4,    5) (   4,    4) (   4,    7) (   4,    5) (   4,    5) (   4,    7) (   4,    4) (   4,    4)
          (   4,    2) (   4,    5) (   4,    5) (   4,    9) (   4,    3) (   4,    2) (   4,    4) (   4,    6) (   4,    4) (   4,    4)
          (   4,    4) (   4,    5) (   4,    4) (   4,    3) (   4,    4) (   4,    3) (   4,    2) (   4,    3) (   4,    2) (   4,    5)
          (   4,    4) (   4,    4) (   4,    1) (   4,    3) (   4,    1) (   4,    4) (   4,    4) (   4,    5) (   4,    3) (   4,    3)
          (   4,    0) (   4,    4) (   4,    5) (   4,    0) (   4,    4) (   4,    6) (   4,    1) (   4,    2) (   4,    4) (   4,    6)
          (   4,    8) (   4,    2) (   4,    3) (   4,    2) (   4,    5) (   4,    2) (   4,    2) (   4,    4) (   4,    8) (   4,    7)
          (   4,    3) (   4,    4) (   4,    4) (   4,    6) (   4,    2) (   4,    4) (   4,    4) (   4,    4) (   4,    2) (   4,    2)
          (   4,    5) (   4,    2) (   4,    6) (   4,    0) (   4,    6) (   4,    3) (   4,    5) (   4,    8) (   4,   10) (   4,    7)
          (   4,    6) (   4,    2) (   4,    5) (   4,    4) (   4,    2) (   4,    4) (   4,    4) (   4,    3) (   4,    6) (   4,    5)
          (   4,    3) (   4,    5) (   4,    3) (   4,   10) (   4,    8) (   4,    9) (   4,    8) (   4,    4) (   4,    2) (   4,    5)
          (   4,    8) (   4,    3) (   4,    4) (   4,    2) (   4,    6) (   4,    5) (   4,    3) (   4,    9) (   4,    6) (   4,    1)
          (   4,    7) (   4,    4) (   4,    8) (   4,    3) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    2)
          (   4,    4) (   4,    5) (   4,    3) (   4,    3) (   4,    6) (   4,    3) (   4,    4) (   4,    1) (   4,    5) (   4,    4)
          (   4,    5) (   4,    4) (   4,    4) (   4,    7) (   4,    3) (   4,    5) (   4,    5) (   4,    6) (   4,    7) (   4,    0)
          (   4,    0) (   4,    4) (   4,    5) (   4,    6) (   4,    9) (   4,    4) (   4,    3) (   4,    4) (   4,    5) (   4,    3)
          (   4,    8) (   4,    1) (   4,    8) (   4,    2) (   4,    4) (   4,    6) (   4,    2) (   4,    4) (   4,    1) (   4,    2)
          (   4,    5) (   4,    1) (   4,    5) (   4,    4) (   4,    4) (   4,    5) (   4,    4) (   4,    4) (   4,    3) (   4,    6)
          (   4,    4) (   4,    2) (   4,    3) (   4,    3) (   4,    3) (   4,    4) (   4,    1) (   4,    5) (   4,    5) (   4,    0)
          (   4,    4) (   4,    6) (   4,    5) (   4,    2) (   4,    7) (   4,    4) (   4,    7) (   4,    6) (   4,    3) (   4,    3)
          (   4,    3) (   4,    5) (   4,    3) (   4,    6) (   4,    3) (   4,    4) (   4,    9) (   4,    3) (   4,    4) (   4,    4)
          (   4,    7) (   4,    8) (   4,    1) (   4,    3) (   4,    3) (   4,    4) (   4,    6) (   4,    3) (   4,    3) (   4,    2)
          (   4,    6) (   4,    3) (   4,    2) (   4,    3) (   4,    5) (   4,    6) (   4,    0) (   4,    3) (   4,    4) (   4,    4)
          (   4,    4) (   4,    4) (   4,    5) (   4,    7) (   4,    4) (   4,    4) (   4,    2) (   4,    6) (   4,    2) (   4,    4)
          (   4,    5) (   4,    5) (   4,    5) (   4,    5) (   4,    5) (   4,    5) (   4,    2) (   4,    1) (   4,    2) (   4,    2)
          (   4,    6) (   4,    4) (   4,    3) (   4,    4) (   4,    6) (   4,    8) (   4,    5) (   4,    4) (   4,    5) (   4,    5)
          (   4,    2) (   4,    2) (   4,    3) (   4,    7) (   4,    9) (   4,    4) (   4,    3) (   4,    3) (   4,    5) (   4,    4)
          (   4,    4) (   4,    7) (   4,    4) (   4,    7) (   4,    2) (   4,    4) (   4,    3) (   4,    6) (   4,    5) (   4,    4)
          (   4,    4) (   4,    3) (   4,    2) (   4,    4) (   4,    6) (   4,    6) (   4,    5) (   4,    4) (   4,    1) (   4,    5)
          (   4,    1) (   4,    5) (   4,    5) (   4,    0) (   4,    8) (   4,    6) (   4,    2) (   4,    2) (   4,    5) (   4,    8)
          (   4,    3) (   4,    3) (   4,    6) (   4,    4) (   4,    4) (   4,    3) (   4,    3) (   4,    0) (   4,    4) (   4,    6)
          (   4,   10) (   4,    4) (   4,    2) (   4,    3) (   4,    5) (   4,    1) (   4,    7) (   4,    2) (   4,    5) (   4,    2)
          (   4,    4) (   4,    3) (   4,    8) (   4,    3) (   4,    5) (   4,    3) (   4,    8) (   4,    4) (   4,    5) (   4,    4)
          (   4,    6) (   4,    2) (   4,    3) (   4,    4) (   4,    9) (   4,    4) (   4,    4) (   4,    2) (   4,    4) (   4,    6)
          (   4,    5) (   4,    8) (   4,    2) (   4,    2) (   4,    2) (   4,    2) (   4,    3) (   4,    4) (   4,    4) (   4,    5)
          (   4,    6) (   4,    1) (   4,    8) (   4,    4) (   4,    3) (   4,    3) (   4,    5) (   4,    3) (   4,    6) (   4,    3)
          (   4,    3) (   4,    4) (   4,    2) (   4,    2) (   4,    3) (   4,    4) (   4,    3) (   4,    5) (   4,    2) (   4,    4)
          (   4,    2) (   4,    4) (   4,    7) (   4,    5) (   4,    3) (   4,    5) (   4,    3) (   4,    1) (   4,    3) (   4,    3)
          (   4,    9) (   4,    2) (   4,    3) (   4,    0) (   4,    3) (   4,    4) (   4,    5) (   4,    2) (   4,    5) (   4,    3)
         
node   2 sent_total   2793  recv_total   2812

node   3  (   1,    0) (   0,    0) (   0,    1) (   4,    4) (   4,    6) (   4,    6) (   4,    5) (   4,    7) (   4,    3) (   4,    2)
          (   4,    3) (   4,    3) (   4,    5) (   4,   10) (   4,    4) (   4,    7) (   4,    1) (   4,    3) (   4,    2) (   4,    6)
          (   4,    3) (   4,    5) (   4,    2) (   4,    7) (   4,    7) (   4,    4) (   4,    6) (   4,    6) (   4,    2) (   4,    4)
          (   4,    3) (   4,    5) (   4,    3) (   4,    4) (   4,    5) (   4,    0) (   4,    4) (   4,    2) (   4,    6) (   4,    0)
          (   4,    4) (   4,    8) (   4,    7) (   4,    2) (   4,    6) (   4,    4) (   4,    5) (   4,    5) (   4,    6) (   4,    8)
          (   4,    3) (   4,    3) (   4,    4) (   4,    8) (   4,    4) (   4,    1) (   4,    8) (   4,    3) (   4,    5) (   4,    3)
          (   4,    6) (   4,    2) (   4,    6) (   4,    3) (   4,    4) (   4,    4) (   4,    4) (   4,    5) (   4,    6) (   4,    2)
          (   4,    2) (   4,    1) (   4,    3) (   4,    2) (   4,    3) (   4,    3) (   4,    4) (   4,    6) (   4,    4) (   4,    2)
          (   4,    1) (   4,    4) (   4,    4) (   4,    3) (   4,    7) (   4,    3) (   4,    7) (   4,    4) (   4,    3) (   4,    5)
          (   4,    2) (   4,    6) (   4,    5) (   4,    6) (   4,    3) (   4,    2) (   4,    6) (   4,    4) (   4,    4) (   4,    5)
          (   4,    4) (   4,    2) (   4,    2) (   4,    2) (   4,    2) (   4,    2) (   4,    2) (   4,    4) (   4,    3) (   4,    3)
          (   4,    4) (   4,    1) (   4,    3) (   4,    5) (   4,    2) (   4,    1) (   4,    4) (   4,    2) (   4,    8) (   4,    3)
          (   4,    5) (   4,    5) (   4,    5) (   4,    6) (   4,    3) (   4,    2) (   4,    8) (   4,    5) (   4,    2) (   4,    3)
          (   4,    4) (   4,    4) (   4,    1) (   4,    5) (   4,    4) (   4,    1) (   4,    1) (   4,    4) (   4,    5) (   4,    4)
          (   4,    2) (   4,    3) (   4,    8) (   4,    6) (   4,    6) (   4,    3) (   4,    2) (   4,    3) (   4,    4) (   4,    6)
          (   4,    4) (   4,    5) (   4,    4) (   4,    3) (   4,    4) (   4,    6) (   4,    4) (   4,    3) (   4,    2) (   4,    3)
          (   4,    4) (   4,    4) (   4,    6) (   4,    6) (   4,    3) (   4,    5) (   4,    3) (   4,    4) (   4,    5) (   4,    3)
          (   4,    2) (   4,    5) (   4,    4) (   4,    6) (   4,    4) (   4,    1) (   4,    7) (   4,    5) (   4,    4) (   4,    8)
          (   4,    1) (   4,    8) (   4,    5) (   4,    2) (   4,    5) (   4,    8) (   4,    5) (   4,    3) (   4,    3) (   4,    5)
          (   4,    5) (   4,    2) (   4,    3) (   4,    5) (   4,    4) (   4,    3) (   4,    4) (   4,    2) (   4,    4) (   4,    7)
          (   4,    4) (   4,    7) (   4,    2) (   4,    3) (   4,    6) (   4,    3) (   4,    7) (   4,    5) (   4,    3) (   4,    1)
          (   4,    1) (   4,    2) (   4,    3) (   4,    4) (   4,    5) (   4,    5) (   4,    2) (   4,    3) (   4,    2) (   4,    5)
          (   4,    3) (   4,    2) (   4,    5) (   4,    7) (   4,    5) (   4,    1) (   4,    4) (   4,    8) (   4,    6) (   4,    7)
          (   4,    5) (   4,    7) (   4,   12) (   4,    4) (   4,    4) (   4,    6) (   4,    4) (   4,    2) (   4,    5) (   4,    1)
          (   4,    5) (   4,    2) (   4,    3) (   4,    4) (   4,    6) (   4,    5) (   4,    3) (   4,    4) (   4,    4) (   4,    3)
          (   4,    8) (   4,    4) (   4,    5) (   4,    6) (   4,    2) (   4,    4) (   4,    3) (   4,    5) (   4,    6) (   4,    4)
          (   4,    7) (   4,    7) (   4,    5) (   4,    4) (   4,    5) (   4,    6) (   4,    3) (   4,    2) (   4,    3) (   4,    1)
          (   4,    2) (   4,    6) (   4,    3) (   4,    3) (   4,    3) (   4,    3) (   4,    6) (   4,    3) (   4,    6) (   4,    3)
          (   4,    2) (   4,    4) (   4,    6) (   4,    6) (   4,    3) (   4,    6) (   4,    7) (   4,    7) (   4,    3) (   4,    3)
          (   4,    8) (   4,    5) (   4,    8) (   4,    7) (   4,    3) (   4,    4) (   4,    4) (   4,    5) (   4,    5) (   4,    3)
          (   4,    2) (   4,    0) (   4,    2) (   4,    3) (   4,    3) (   4,    5) (   4,    3) (   4,    5) (   4,    1) (   4,    3)
          (   4,    4) (   4,    2) (   4,    4) (   4,    4) (   4,    6) (   4,    3) (   4,    5) (   4,    2) (   4,    1) (   4,    3)
          (   4,    4) (   4,    8) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    6) (   4,    6) (   4,    1) (   4,    4)
          (   4,    7) (   4,    5) (   4,    7) (   4,    7) (   4,    7) (   4,    3) (   4,    7) (   4,    1) (   4,    7) (   4,    2)
          (   4,    3) (   4,    6) (   4,    4) (   4,    2) (   4,    5) (   4,    6) (   4,    3) (   4,    3) (   4,    4) (   4,    1)
          (   4,    6) (   4,    5) (   4,    7) (   4,    2) (   4,    5) (   4,    5) (   4,    4) (   4,    1) (   4,    6) (   4,    3)
          (   4,    1) (   4,    3) (   4,    4) (   4,    7) (   4,    4) (   4,    4) (   4,    2) (   4,    8) (   4,    2) (   4,    1)
          (   4,    2) (   4,    2) (   4,    3) (   4,    3) (   4,    5) (   4,    4) (   4,    7) (   4,    5) (   4,    3) (   4,    3)
          (   4,    3) (   4,    1) (   4,    4) (   4,    8) (   4,    4) (   4,    8) (   4,    2) (   4,    8) (   4,    3) (   4,    2)
          (   4,    5) (   4,    3) (   4,    1) (   4,    8) (   4,    4) (   4,    5) (   4,    3) (   4,    1) (   4,    4) (   4,    2)
          (   4,    4) (   4,    4) (   4,    1) (   4,    4) (   4,    0) (   4,    3) (   4,    5) (   4,    4) (   4,    3) (   4,    2)
          (   4,    5) (   4,    2) (   4,    3) (   4,    6) (   4,    2) (   4,    2) (   4,    3) (   4,    4) (   4,    7) (   4,    4)
          (   4,    3) (   4,    2) (   4,    5) (   4,    1) (   4,    6) (   4,    7) (   4,    3) (   4,    4) (   4,    3) (   4,    6)
          (   4,    2) (   4,    4) (   4,    6) (   4,    2) (   4,    4) (   4,    5) (   4,    3) (   4,    6) (   4,    3) (   4,    3)
          (   4,    5) (   4,    3) (   4,    5) (   4,    5) (   4,    3) (   4,    5) (   4,    4) (   4,   10) (   4,    1) (   4,    4)
          (   4,    2) (   4,    4) (   4,    2) (   4,    4) (   4,    2) (   4,    3) (   4,    4) (   4,    0) (   4,    4) (   4,    6)
          (   4,    3) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    5) (   4,    2) (   4,    4) (   4,    7) (   4,    7)
          (   4,    3) (   4,    7) (   4,    3) (   4,    3) (   4,    1) (   4,    4) (   4,    3) (   4,    5) (   4,    3) (   4,    2)
          (   4,    3) (   4,    7) (   4,    4) (   4,    4) (   4,    6) (   4,    2) (   4,    4) (   4,    3) (   4,    4) (   4,    3)
          (   4,    0) (   4,    3) (   4,    5) (   4,    3) (   4,    8) (   4,    1) (   4,    4) (   4,    7) (   4,    6) (   4,    5)
          (   4,    1) (   4,    2) (   4,    2) (   4,    4) (   4,    3) (   4,    3) (   4,    6) (   4,    4) (   4,    5) (   4,    6)
          (   4,    6) (   4,    1) (   4,    6) (   4,    1) (   4,    4) (   4,    2) (   4,    1) (   4,    5) (   4,    3) (   4,    1)
          (   4,    3) (   4,    4) (   4,    4) (   4,    4) (   4,    2) (   4,    5) (   4,    1) (   4,    2) (   4,    4) (   4,    5)
